Date,Value
1990-01-01,135.1
1990-02-01,135.3
1990-03-01,136.6
1990-04-01,137.3
1990-05-01,137.2
1990-06-01,137.1
1990-07-01,138.4
1990-08-01,140.0
1990-09-01,140.8
1990-10-01,141.6
1990-11-01,141.5
1990-12-01,141.6
1991-01-01,143.0
1991-02-01,143.6
1991-03-01,143.4
1991-04-01,143.7
1991-05-01,144.0
1991-06-01,144.6
1991-07-01,145.2
1991-08-01,145.4
1991-09-01,145.8
1991-10-01,145.7
1991-11-01,146.6
1991-12-01,146.6
1992-01-01,147.3
1992-02-01,148.0
1992-03-01,149.1
1992-04-01,149.2
1992-05-01,148.9
1992-06-01,149.5
1992-07-01,149.9
1992-08-01,150.8
1992-09-01,151.4
1992-10-01,152.1
1992-11-01,152.2
1992-12-01,151.9
1993-01-01,153.0
1993-02-01,153.6
1993-03-01,154.1
1993-04-01,154.0
1993-05-01,153.8
1993-06-01,154.2
1993-07-01,154.3
1993-08-01,155.3
1993-09-01,155.3
1993-10-01,155.5
1993-11-01,155.4
1993-12-01,155.6
1994-01-01,156.0
1994-02-01,157.4
1994-03-01,157.9
1994-04-01,157.7
1994-05-01,157.3
1994-06-01,157.8
1994-07-01,158.2
1994-08-01,159.1
1994-09-01,159.0
1994-10-01,159.5
1994-11-01,159.4
1994-12-01,158.9
1995-01-01,159.9
1995-02-01,160.3
1995-03-01,160.9
1995-04-01,161.4
1995-05-01,161.8
1995-06-01,162.2
1995-07-01,162.3
1995-08-01,162.8
1995-09-01,163.2
1995-10-01,163.6
1995-11-01,163.8
1995-12-01,163.7
1996-01-01,164.8
1996-02-01,165.7
1996-03-01,166.5
1996-04-01,166.0
1996-05-01,166.4
1996-06-01,166.5
1996-07-01,166.7
1996-08-01,167.2
1996-09-01,168.2
1996-10-01,168.2
1996-11-01,168.4
1996-12-01,168.5
1997-01-01,169.1
1997-02-01,170.1
1997-03-01,170.7
1997-04-01,170.2
1997-05-01,169.9
1997-06-01,170.3
1997-07-01,170.8
1997-08-01,170.8
1997-09-01,171.7
1997-10-01,172.3
1997-11-01,172.0
1997-12-01,171.9
1998-01-01,172.1
1998-02-01,172.7
1998-03-01,173.0
1998-04-01,173.0
1998-05-01,173.0
1998-06-01,173.1
1998-07-01,173.6
1998-08-01,174.2
1998-09-01,174.4
1998-10-01,174.8
1998-11-01,174.7
1998-12-01,174.7
1999-01-01,175.0
1999-02-01,175.1
1999-03-01,175.5
1999-04-01,176.0
1999-05-01,176.1
1999-06-01,176.8
1999-07-01,177.2
1999-08-01,177.6
1999-09-01,178.2
1999-10-01,178.9
1999-11-01,178.8
1999-12-01,178.6
2000-01-01,179.3
2000-02-01,180.5
2000-03-01,181.5
2000-04-01,181.4
2000-05-01,181.4
2000-06-01,182.0
2000-07-01,182.8
2000-08-01,183.1
2000-09-01,184.4
2000-10-01,184.6
2000-11-01,184.6
2000-12-01,184.2
2001-01-01,184.9
2001-02-01,185.3
2001-03-01,186.4
2001-04-01,186.6
2001-05-01,187.3
2001-06-01,188.3
2001-07-01,187.8
2001-08-01,188.1
2001-09-01,188.0
2001-10-01,187.8
2001-11-01,187.8
2001-12-01,187.3
2002-01-01,188.5
2002-02-01,189.9
2002-03-01,191.1
2002-04-01,191.8
2002-05-01,191.4
2002-06-01,191.5
2002-07-01,192.0
2002-08-01,193.1
2002-09-01,193.3
2002-10-01,193.7
2002-11-01,193.4
2002-12-01,193.1
2003-01-01,194.7
2003-02-01,196.2
2003-03-01,197.1
2003-04-01,196.7
2003-05-01,196.8
2003-06-01,196.9
2003-07-01,197.7
2003-08-01,199.1
2003-09-01,199.6
2003-10-01,200.0
2003-11-01,199.4
2003-12-01,199.3
2004-01-01,199.9
2004-02-01,201.1
2004-03-01,203.4
2004-04-01,204.0
2004-05-01,204.4
2004-06-01,206.0
2004-07-01,205.5
2004-08-01,205.7
2004-09-01,205.9
2004-10-01,207.3
2004-11-01,207.2
2004-12-01,206.8
2005-01-01,208.1
2005-02-01,208.9
2005-03-01,212.4
2005-04-01,212.5
2005-05-01,211.4
2005-06-01,210.7
2005-07-01,212.5
2005-08-01,214.1
2005-09-01,215.8
2005-10-01,216.6
2005-11-01,215.3
2005-12-01,214.2
2006-01-01,215.9
2006-02-01,216.4
2006-03-01,218.2
2006-04-01,220.2
2006-05-01,221.6
2006-06-01,222.6
2006-07-01,223.1
2006-08-01,224.1
2006-09-01,222.9
2006-10-01,221.7
2006-11-01,220.9
2006-12-01,221.3
2007-01-01,221.767
2007-02-01,223.066
2007-03-01,224.551
2007-04-01,225.78
2007-05-01,227.146
2007-06-01,228.258
2007-07-01,228.628
2007-08-01,228.326
2007-09-01,228.308
2007-10-01,228.552
2007-11-01,229.504
2007-12-01,229.395
2008-01-01,229.869
2008-02-01,231.02
2008-03-01,233.122
2008-04-01,233.822
2008-05-01,236.151
2008-06-01,238.58
2008-07-01,240.273
2008-08-01,240.55
2008-09-01,240.089
2008-10-01,238.403
2008-11-01,234.498
2008-12-01,233.012
2009-01-01,233.402
2009-02-01,234.663
2009-03-01,235.067
2009-04-01,235.582
2009-05-01,235.975
2009-06-01,237.172
2009-07-01,237.6
2009-08-01,238.282
2009-09-01,238.568
2009-10-01,238.38
2009-11-01,238.777
2009-12-01,238.427
2010-01-01,238.97
2010-02-01,238.862
2010-03-01,240.101
2010-04-01,240.529
2010-05-01,241.075
2010-06-01,240.817
2010-07-01,241.147
2010-08-01,241.569
2010-09-01,241.485
2010-10-01,241.981
2010-11-01,241.96
2010-12-01,241.874
2011-01-01,242.639
2011-02-01,243.832
2011-03-01,245.617
2011-04-01,246.489
2011-05-01,248.073
2011-06-01,248.505
2011-07-01,249.164
2011-08-01,250.058
2011-09-01,250.559
2011-10-01,250.051
2011-11-01,249.317
2011-12-01,248.307
2012-01-01,249.322
2012-02-01,250.285
2012-03-01,251.887
2012-04-01,252.349
2012-05-01,252.652
2012-06-01,252.406
2012-07-01,252.016
2012-08-01,253.472
2012-09-01,254.554
2012-10-01,254.277
2012-11-01,254.285
2012-12-01,253.555
2013-01-01,254.807
2013-02-01,256.234
2013-03-01,256.589
2013-04-01,255.967
2013-05-01,256.27
2013-06-01,256.911
2013-07-01,257.326
2013-08-01,257.659
2013-09-01,258.504
2013-10-01,257.069
2013-11-01,257.377
2013-12-01,257.284
2014-01-01,259.596
2014-02-01,259.019
2014-03-01,259.971
2014-04-01,259.985
2014-05-01,261.225
2014-06-01,261.35
2014-07-01,261.498
2014-08-01,261.075
2014-09-01,261.074
2014-10-01,260.5
2014-11-01,259.382
2014-12-01,258.08
2015-01-01,258.376
2015-02-01,259.24
2015-03-01,259.647
2015-04-01,259.959
2015-05-01,261.066
2015-06-01,261.512
2015-07-01,261.199
2015-08-01,261.347
2015-09-01,261.887
2015-10-01,261.515
2015-11-01,261.009
2015-12-01,259.941
2016-01-01,260.342
2016-02-01,260.875
2016-03-01,261.508
2016-04-01,262.619
2016-05-01,263.312
2016-06-01,263.877
2016-07-01,263.722
2016-08-01,264.16
2016-09-01,264.602
2016-10-01,264.738
2016-11-01,265.203
2016-12-01,265.421
2017-01-01,266.917
2017-02-01,267.662
2017-03-01,267.582
2017-04-01,267.948
2017-05-01,268.183
2017-06-01,268.666
2017-07-01,268.051
2017-08-01,268.657
2017-09-01,270.059
2017-10-01,269.575
2017-11-01,269.381
2017-12-01,269.564
2018-01-01,270.771
2018-02-01,272.214
2018-03-01,272.196
2018-04-01,272.95
